item_name,main_category,sub_category,year,transactions,investment,revenue,profit,profit_margin_percentage,roi_percenatge
1Kg Olive Pack,Fresh Produce,Other Vegies,10,10,63.52512000000001,90.88,27.354879999999994,30.099999999999994,43.06151645207438
1Lt Coconut Oil,Pantry Staples,Oil,32,25,22.4,1120.0,1097.6000000000004,98.00000000000003,4900.000000000002
1Lt Coconut Oil Ver,Pantry Staples,Oil,9,9,0.0,140.0,140.0,100.0,inf
2Kg Marsh Grapefruit,Fresh Produce,Citrus Fruits,137,137,423.0,705.0,282.0,40.0,66.66666666666666
2Kg Royal Gala Apple,Fresh Produce,Apples,60,60,0.0,270.0,270.0,100.0,inf
3Kg Marsh Grapefruit,Fresh Produce,Citrus Fruits,31,31,93.0,154.69,61.69000000000002,39.87975951903809,66.33333333333336
3Kg Valencia Oranges,Fresh Produce,Citrus Fruits,988,988,2070.0,4657.5,2587.5,55.55555555555556,125.0
Adelaide Tomatoes,Fresh Produce,Tomatoes,8,7,0.0,24.2097,24.2097,100.0,inf
Adzuki Beans 500G,Pantry Staples,Grains And Pulses,67,66,136.0,182.9199999999999,46.91999999999998,25.65055762081785,34.499999999999986
Afourer Mandarin,Fresh Produce,Citrus Fruits,474,469,343.3180000000003,858.2950000000004,514.9770000000001,59.999999999999986,149.9999999999999
Al Nakhil Tahina 454G,Pantry Staples,Grains And Pulses,45,43,180.0,224.55000000000013,44.550000000000004,19.839679358717426,24.750000000000004
Alfa Alfa,Fresh Produce,Other Vegies,118,118,0.0,288.0000000000001,288.0000000000001,100.0,inf
Almond Bread,Breads & Bakery,Sweet Bread,16,16,72.93,86.545454547,13.615454546999999,15.732142858647638,18.669209580419576
Almond Cresent 250G,Snacks,Dry Fruits And Nuts,111,104,413.0,535.290909047999,122.29090904800013,22.845691376580884,29.61038960000003
Almonds Natural 500G,Snacks,Dry Fruits And Nuts,145,144,1147.0,1478.5200000000011,331.5200000000007,22.422422422422457,28.903225806451676
Almonds Roasted 375G,Snacks,Dry Fruits And Nuts,77,77,616.0,699.3000000140004,83.30000001400008,11.911911913675443,13.522727275000012
Amami Papadam,Pantry Staples,Grains And Pulses,32,26,39.09999999999998,67.66000000000001,28.56,42.211055276381906,73.0434782608696
Ambarella,Fresh Produce,Asian Vegies,26,26,47.696,59.50076,11.804759999999998,19.839679358717433,24.749999999999996
Ambarella Chutney Dera,Pantry Staples,Pickle,13,13,44.19999999999999,64.87000000000002,20.67,31.863727454909814,46.764705882352956
Amber Jewl Plum,Fresh Produce,Stonefruits,69,69,0.0,60.50794,60.50794,100.0,inf
Amberella Curry,Pantry Staples,Sauce,25,22,114.55000000000003,159.21000000000004,44.65999999999999,28.05100182149361,38.98734177215188
Ambulthiyal Mix La,Snacks,Packaged Snacks,3,3,9.3,11.97,2.67,22.305764411027567,28.709677419354833
Annapura Atta 1Kg,Fresh Produce,Root Vegies,8,8,20.0,31.92000000000001,11.92,37.34335839598996,59.599999999999994
Apple Granny Smith 1Kg Bag,Fresh Produce,Apples,3,3,12.0,10.76,-1.24,-11.524163568773234,-10.333333333333334
